"subject","dom_key","nondom_key","trial","transition_step","condition","total_runtime_mins","frame_count","coherence","resp_key","rt","accuracy"
939681,"j","f",56,35,"dom",1.13235816666667,2675,0.729166666666667,"j",0.584809,1
939681,"j","f",57,33,"dom",1.14543281666667,2721,0.6875,"j",0.551132,1
939681,"j","f",58,40,"dom",1.16099908333333,2776,0.833333333333333,"j",0.667032,1
939681,"j","f",59,39,"dom",1.17435545,2823,0.8125,"j",0.651431,1
939681,"j","f",60,37,"dom",1.18741891666667,2869,0.770833333333333,"j",0.618126,1
939681,"j","f",61,41,"dom",1.2021682,2921,0.854166666666667,"j",0.684022,1
939681,"j","f",62,42,"dom",1.21605541666667,2970,0.875,"j",0.701277,1
939681,"j","f",63,43,"dom",1.22996751666667,3019,0.895833333333333,"j",0.718765,1
939681,"j","f",64,43,"dom",1.24358435,3067,0.895833333333333,"j",0.717042,1
939681,"j","f",65,48,"nondom",NA,NA,NA,NA,NA,1
939681,"j","f",66,41,"dom",1.27028385,3161,0.854166666666667,"j",0.684513,1
939681,"j","f",67,36,"dom",1.2825204,3204,0.75,"j",0.601112,1
939681,"j","f",68,33,"dom",1.29530805,3249,0.6875,"j",0.550328,1
939681,"j","f",69,38,"dom",1.31032428333333,3302,0.791666666666667,"j",0.634063,1
939681,"j","f",70,36,"dom",1.32339773333333,3348,0.75,"j",0.601468,1
939681,"j","f",71,31,"dom",1.33562748333333,3391,0.645833333333333,"j",0.517855,1
939681,"j","f",72,31,"dom",1.60564208333333,3439,0.645833333333333,"j",15.900937,1
939681,"j","f",73,30,"dom",1.61899388333333,3486,0.625,"j",0.500837,1
939681,"j","f",74,30,"dom",1.63262393333333,3534,0.625,"j",0.500826,1
939681,"j","f",75,30,"dom",1.64624261666667,3582,0.625,"j",0.501041,1
939681,"j","f",76,29,"dom",1.65958086666667,3629,0.604166666666667,"j",0.484138,1
939681,"j","f",77,28,"dom",1.67294091666667,3676,0.583333333333333,"j",0.468335,1
939681,"j","f",78,31,"dom",1.6873924,3727,0.645833333333333,"j",0.517949,1
939681,"j","f",79,36,"dom",1.70241805,3780,0.75,"j",0.601353,1
939681,"j","f",80,38,"nondom",1.7165972,3830,0.791666666666667,"j",0.63382,0
939681,"j","f",1,46,"dom",1.9679706,46,0.958333333333333,"j",0.760751,1
939681,"j","f",2,43,"dom",1.98077636666667,91,0.895833333333333,"j",0.718239,1
939681,"j","f",3,36,"dom",1.99244305,132,0.75,"j",0.601001,1
939681,"j","f",4,32,"dom",2.00504465,176,0.666666666666667,"j",0.539994,1
939681,"j","f",5,30,"dom",2.01802373333333,222,0.625,"j",0.500839,1
939681,"j","f",6,25,"dom",2.03025553333333,265,0.520833333333333,"j",0.41701,1
939681,"j","f",7,23,"dom",2.04333995,311,0.479166666666667,"j",0.38505,1
939681,"j","f",8,21,"dom",2.0563977,357,0.4375,"j",0.350513,1
939681,"j","f",9,25,"nondom",2.07113203333333,409,0.520833333333333,"j",0.416949,0
939681,"j","f",10,30,"dom",2.08615686666667,462,0.625,"j",0.501591,1
939681,"j","f",11,26,"dom",2.09867306666667,506,0.541666666666667,"j",0.434074,1
939681,"j","f",12,34,"dom",2.11452316666667,562,0.708333333333333,"j",0.568008,1
939681,"j","f",13,36,"dom",2.12870191666667,612,0.75,"j",0.600805,1
939681,"j","f",14,34,"dom",2.14176958333333,658,0.708333333333333,"j",0.568132,1
939681,"j","f",15,32,"dom",2.154836,704,0.666666666666667,"j",0.533956,1
939681,"j","f",16,32,"dom",2.16847173333333,752,0.666666666666667,"j",0.535236,1
939681,"j","f",17,26,"nondom",2.18042098333333,794,0.541666666666667,"j",0.434048,0
939681,"j","f",18,25,"dom",2.19376753333333,841,0.520833333333333,"j",0.417243,1
939681,"j","f",19,23,"dom",2.20683161666667,887,0.479166666666667,"j",0.382875,1
939681,"j","f",20,24,"dom",2.22073451666667,936,0.5,"j",0.400073,1
939681,"j","f",21,38,"dom",2.23825805,998,0.791666666666667,"j",0.634043,1
939681,"j","f",22,48,"nondom",NA,NA,NA,NA,NA,1
939681,"j","f",23,36,"dom",2.26494941666667,1092,0.75,"j",0.60102,1
939681,"j","f",24,39,"dom",2.27941251666667,1143,0.8125,"j",0.650855,1
939681,"j","f",25,35,"dom",2.29192916666667,1187,0.729166666666667,"j",0.583933,1
939681,"j","f",26,36,"dom",2.30584351666667,1236,0.75,"j",0.600938,1
939681,"j","f",27,38,"dom",2.32002221666667,1286,0.791666666666667,"j",0.634793,1
939681,"j","f",28,37,"dom",2.33335541666667,1333,0.770833333333333,"j",0.617053,1
939681,"j","f",29,41,"dom",2.348094,1385,0.854166666666667,"j",0.684235,1
939681,"j","f",30,39,"dom",2.36117521666667,1431,0.8125,"j",0.650916,1
939681,"j","f",31,36,"dom",2.37396255,1476,0.75,"j",0.601041,1
